Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
main_body,7.9841E-19,2.4817E-18,-0.024667,0,0,0,0.27159,0.00047029,8.621E-20,9.2464E-22,0.00030006,2.8702E-20,0.00076993,0,0,0,0,0,0,package://spider URDF 2/meshes/main_body.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://spider URDF 2/meshes/main_body.STL,,body-1;body-2;horn-5;horn-3;horn-2;horn-6;horn-4;horn-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1_coxa,0.0247761020916158,0.0016341318811333,0.00351420598211367,0,0,0,0.145467159991245,4.17771437174161E-05,-5.35841770623164E-07,5.35574503748093E-07,2.67197997965506E-05,-4.91508372771303E-13,2.67198003019226E-05,0,0,0,0,0,0,package://spider URDF 2/meshes/L1_coxa.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider URDF 2/meshes/L1_coxa.STL,,left_leg-3/servo-1;left_leg-3/coxa-1;left_leg-3/coxa-2;left_leg-3/servo-2,Origin_L1_joint1,,L1_joint1,fixed,-0.044415,0.061418,-0.023391,1.5708,0,2.0608,main_body,0,0,0,0,0,0,0,,,,,,,,
L1_femur,0.0425,0.00207234047327528,-0.000962489733140025,0,0,0,0.0189543856263249,6.90193645790598E-07,9.75487893396359E-21,7.94093388050907E-23,1.6507785713016E-05,2.0503687617123E-21,1.71682624360507E-05,0,0,0,0,0,0,package://spider URDF 2/meshes/L1_femur.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://spider URDF 2/meshes/L1_femur.STL,,left_leg-3/horn-2;left_leg-3/femur-1;left_leg-3/horn-1,Origin_L1_joint2,Axis_L1_joint2,L1_joint2,fixed,0.0396460000000004,-0.00178099999999991,0.0349586679866614,-3.14159265358979,0,0,L1_coxa,0,0,0,0,0,0,0,,,,,,,,
L1_tibia,0.0178645516396564,-0.000259178981868974,0.0136344624812394,0,0,0,0.083452689557944,6.39493635604438E-05,-1.3188961409821E-10,-6.85516461255453E-06,6.30699268556512E-05,-1.55008010479795E-07,1.1270060453422E-05,0,0,0,0,0,0,package://spider URDF 2/meshes/L1_tibia.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider URDF 2/meshes/L1_tibia.STL,,left_leg-3/servo-3;left_leg-3/tibia-1,Origin_L1_joint3,Axis_L1_joint3,L1_joint3,fixed,0.0750939999999996,-0.0102869999999999,0.0233906679866615,-1.5707963267949,0,0,L1_femur,0,0,0,0,0,0,0,,,,,,,,
L2_coxa,0.0247761019865103,0.00163413188564857,0.00351420600696526,0,0,0,0.145467159253711,4.1777143942296E-05,-5.35841762208973E-07,5.35574479770473E-07,2.67198002179655E-05,1.0483085257125E-20,2.67198002179655E-05,0,0,0,0,0,0,package://spider URDF 2/meshes/L2_coxa.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider URDF 2/meshes/L2_coxa.STL,,left_leg-2/servo-1;left_leg-2/coxa-1;left_leg-2/coxa-2;left_leg-2/servo-2,Origin_L2_joint1,,L2_joint1,fixed,-0.057933,-0.010287,-0.023391,1.5708,0,-3.1416,main_body,0,0,0,0,0,0,0,,,,,,,,
L2_femur,0.0425,0.00207234047327529,-0.000962489733140046,0,0,0,0.0189543856263249,6.90193645790593E-07,1.05689234935213E-21,8.04103118988984E-21,1.6507785713016E-05,1.63458960305294E-21,1.71682624360507E-05,0,0,0,0,0,0,package://spider URDF 2/meshes/L2_femur.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://spider URDF 2/meshes/L2_femur.STL,,left_leg-2/horn-2;left_leg-2/femur-1;left_leg-2/horn-1,Origin_L2_joint2,Axis_L2_joint2,L2_joint2,fixed,0.0396460000000004,-0.00178099999999991,0.0349586679866614,3.14159265358979,0,0,L2_coxa,0,0,0,0,0,0,0,,,,,,,,
L2_tibia,0.0178645519028315,-0.000259179077848723,0.0136344632777333,0,0,0,0.0834526902175736,6.39493650348896E-05,-1.31909002290743E-10,-6.85516445399056E-06,6.30699287112449E-05,-1.55008077461342E-07,1.12700615287121E-05,0,0,0,0,0,0,package://spider URDF 2/meshes/L2_tibia.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider URDF 2/meshes/L2_tibia.STL,,left_leg-2/servo-3;left_leg-2/tibia-1,Origin_L2_joint3,Axis_L2_joint3,L2_joint3,fixed,0.0750939999999996,-0.0102869999999999,0.0233906679866614,-1.5707963267949,0,0,L2_femur,0,0,0,0,0,0,0,,,,,,,,
L3_coxa,0.0247761020098556,0.00163413195267163,0.00351420592765425,0,0,0,0.145467159991245,4.17771437174694E-05,-5.35841791312058E-07,5.35574459198207E-07,2.67197998012243E-05,-4.54267233853851E-13,2.67198002995217E-05,0,0,0,0,0,0,package://spider URDF 2/meshes/L3_coxa.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider URDF 2/meshes/L3_coxa.STL,,left_leg-4/servo-1;left_leg-4/coxa-1;left_leg-4/coxa-2;left_leg-4/servo-2,Origin_L3_joint1,,L3_joint1,fixed,-0.026262,-0.0711,-0.023391,1.5708,0,-2.0608,main_body,0,0,0,0,0,0,0,,,,,,,,
L3_femur,0.0424999999999998,0.00207234047327515,-0.000962489733139935,0,0,0,0.0189543856263249,6.90193645790596E-07,1.27110074245556E-20,6.03510974918689E-21,1.65077857130159E-05,1.75296890584284E-21,1.71682624360507E-05,0,0,0,0,0,0,package://spider URDF 2/meshes/L3_femur.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://spider URDF 2/meshes/L3_femur.STL,,left_leg-4/horn-2;left_leg-4/femur-1;left_leg-4/horn-1,Origin_L3_joint2,Axis_L3_joint2,L3_joint2,fixed,0.0396460000000005,-0.00178099999999964,0.0349586679866626,3.14159265358979,0,0,L3_coxa,0,0,0,0,0,0,0,,,,,,,,
L3_tibia,0.0178645520428122,-0.000259178845722352,0.0136344638552385,0,0,0,0.0834526923953858,6.39493660790735E-05,-1.31925906151489E-10,-6.8551643119347E-06,6.30699307053158E-05,-1.55008121913509E-07,1.1270061788477E-05,0,0,0,0,0,0,package://spider URDF 2/meshes/L3_tibia.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider URDF 2/meshes/L3_tibia.STL,,left_leg-4/servo-3;left_leg-4/tibia-1,Origin_L3_joint3,Axis_L3_joint3,L3_joint3,fixed,0.0750939999999996,-0.0102869999999999,0.0233906679866616,-1.5707963267949,0,0,L3_femur,0,0,0,0,0,0,0,,,,,,,,
R1_coxa,-0.00496389814092921,0.00163413195267159,0.00351420592765427,0,0,0,0.145467159991245,4.17771437174693E-05,5.35468938005544E-07,-5.35736270119371E-07,2.67197998012243E-05,-4.54267229900889E-13,2.67198002995216E-05,0,0,0,0,0,0,package://spider URDF 2/meshes/R1_coxa.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider URDF 2/meshes/R1_coxa.STL,,right_leg-1/servo-1;right_leg-1/coxa-1;right_leg-1/coxa-2;right_leg-1/servo-2,Origin_R1_joint1,,R1_joint1,fixed,0.053738,0.0789,-0.023391,1.5708,0,-2.0608,main_body,0,0,0,0,0,0,0,,,,,,,,
R1_femur,-0.0425,0.00207234047327522,-0.000962489733140004,0,0,0,0.0189543856263249,6.90193645790599E-07,5.83228344855E-21,3.09696421339854E-21,1.65077857130159E-05,1.97242199602815E-21,1.71682624360507E-05,0,0,0,0,0,0,package://spider URDF 2/meshes/R1_femur.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://spider URDF 2/meshes/R1_femur.STL,,right_leg-1/horn-1;right_leg-1/femur-1;right_leg-1/horn-2,Origin_R1_joint2,Axis_R1_joint2,R1_joint2,fixed,-0.0198339999999996,-0.0017809999999999,0.0349586679866615,3.14159265358979,0,0,R1_coxa,0,0,0,0,0,0,0,,,,,,,,
R1_tibia,0.00194762565089338,-0.000259206689439198,0.0136344638552385,0,0,0,0.0834526923953859,6.39493660790734E-05,-1.31925906144713E-10,6.85526981343424E-06,6.30699307053149E-05,-1.54967811581959E-07,1.12700617884764E-05,0,0,0,0,0,0,package://spider URDF 2/meshes/R1_tibia.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider URDF 2/meshes/R1_tibia.STL,,right_leg-1/servo-3;right_leg-1/tibia-1,Origin_R1_joint3,Axis_R1_joint3,R1_joint3,fixed,-0.0949060000000004,-0.0102869999999999,0.0233906679866615,-1.5707963267949,0,0,R1_femur,0,0,0,0,0,0,0,,,,,,,,
R2_coxa,-0.0049639,0.0016341,0.0035142,0,0,0,0.14547,4.1777E-05,5.3547E-07,-5.3574E-07,2.672E-05,8.6821E-21,2.672E-05,0,0,0,0,0,0,package://spider URDF 2/meshes/R2_coxa.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spider URDF 2/meshes/R2_coxa.STL,,right_leg-2/servo-1;right_leg-2/coxa-1;right_leg-2/coxa-2;right_leg-2/servo-2,Origin_R2_joint1,,R2_joint1,fixed,0.077745,-0.010287,-0.023391,1.5708,0,-3.1416,main_body,0,0,0,0,0,0,0,,,,,,,,
R2_femur,-0.0425,0.0020723,-0.00096249,0,0,0,0.018954,6.9019E-07,-1.399E-21,1.7931E-20,1.6508E-05,2.691E-21,1.7168E-05,0,0,0,0,0,0,package://spider URDF 2/meshes/R2_femur.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://spider URDF 2/meshes/R2_femur.STL,,right_leg-2/horn-1;right_leg-2/femur-1;right_leg-2/horn-2,Origin_R2_joint2,Axis_R2_joint2,R2_joint2,fixed,-0.0198339999999996,-0.00178099999999989,0.0349586679866615,-3.14159265358979,0,0,R2_coxa,0,0,0,0,0,0,0,,,,,,,,
R2_tibia,0.0019476,-0.00025921,0.013634,0,0,0,0.083453,6.3949E-05,-1.3191E-10,6.8553E-06,6.307E-05,-1.5497E-07,1.127E-05,0,0,0,0,0,0,package://spider URDF 2/meshes/R2_tibia.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spider URDF 2/meshes/R2_tibia.STL,,right_leg-2/servo-3;right_leg-2/tibia-1,Origin_R2_joint3,Axis_R2_joint3,R2_joint3,fixed,-0.0949060000000004,-0.0102869999999999,0.0233906679866616,-1.5707963267949,0,0,R2_femur,0,0,0,0,0,0,0,,,,,,,,
R3_coxa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://spider URDF 2/meshes/R3_coxa.STL,1,1,1,1,0,0,0,0,0,0,package://spider URDF 2/meshes/R3_coxa.STL,,right_leg-3/servo-1;right_leg-3/coxa-1;right_leg-3/coxa-2;right_leg-3/servo-2,Origin_R3_joint1,Axis_R3_joint1,R3_joint1,fixed,0.0355848823529414,-0.0885815294117651,-0.0233906679866614,1.5707963267949,0,2.06075365304862,main_body,0,0,0,0,0,0,0,,,,,,,,
R3_femur,-0.0425000000000001,0.00207234047327527,-0.000962489733140059,0,0,0,0.018954385626325,6.90193645790599E-07,-3.69336264179559E-21,-1.96670462440608E-20,1.6507785713016E-05,3.1737957298141E-21,1.71682624360508E-05,0,0,0,0,0,0,package://spider URDF 2/meshes/R3_femur.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://spider URDF 2/meshes/R3_femur.STL,,right_leg-3/horn-1;right_leg-3/femur-1;right_leg-3/horn-2,Origin_R3_joint2,Axis_R3_joint2,R3_joint2,fixed,-0.0198339999999995,-0.0017809999999999,0.0349586679866615,-3.14159265358979,0,0,R3_coxa,0,0,0,0,0,0,0,,,,,,,,
R3_tibia,0.00194762621390129,-0.000259206874815343,0.0136344624812394,0,0,0,0.0834526895579443,6.39493635604439E-05,-1.31889614091434E-10,6.85527012743982E-06,6.30699268556516E-05,-1.54967636024376E-07,1.12700604534222E-05,0,0,0,0,0,0,package://spider URDF 2/meshes/R3_tibia.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider URDF 2/meshes/R3_tibia.STL,,right_leg-3/servo-3;right_leg-3/tibia-1,Origin_R3_joint3,Axis_R3_joint3,R3_joint3,fixed,-0.0949060000000004,-0.0102869999999999,0.0233906679866614,-1.5707963267949,0,0,R3_femur,0,0,0,0,0,0,0,,,,,,,,
