Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
main_body,4.9901E-19,-0.024667,-4.6907E-18,0,0,0,0.27159,0.00047029,9.2461E-22,-8.9369E-20,0.00076993,6.8455E-23,0.00030006,0,0,0,0,0,0,package://spider URDF/meshes/main_body.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://spider URDF/meshes/main_body.STL,,body-1;body-2;horn-5;horn-3;horn-2;horn-6;horn-4;horn-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1_coxa,0.024776,0.0016341,0.0035142,0,0,0,0.14547,4.1777E-05,-5.3584E-07,5.3557E-07,2.672E-05,-4.9151E-13,2.672E-05,0,0,0,0,0,0,package://spider URDF/meshes/L1_coxa.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spider URDF/meshes/L1_coxa.STL,,left_leg-3/servo-1;left_leg-3/coxa-1;left_leg-3/coxa-2;left_leg-3/servo-2,Origin_L1_joint1,,L1_joint1,revolute,-0.044415,0.061418,-0.023391,1.5708,0,2.0608,main_body,0,0,0,0,0,0,0,,,,,,,,
L1_femur,0.0425,0.0020723,-0.00096249,0,0,0,0.018954,6.9019E-07,9.6701E-21,-3.3617E-21,1.6508E-05,2.0543E-21,1.7168E-05,0,0,0,0,0,0,package://spider URDF/meshes/L1_femur.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://spider URDF/meshes/L1_femur.STL,,left_leg-3/horn-2;left_leg-3/femur-1;left_leg-3/horn-1,Origin_L1_joint2,,L1_joint2,revolute,0.039646,-0.001781,0.034959,-3.1416,0,0,L1_coxa,0,0,0,0,0,0,0,,,,,,,,
L1_tibia,0.017865,-0.00025918,0.013634,0,0,0,0.083453,6.3949E-05,-1.3189E-10,-6.8552E-06,6.307E-05,-1.5501E-07,1.127E-05,0,0,0,0,0,0,package://spider URDF/meshes/L1_tibia.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spider URDF/meshes/L1_tibia.STL,,left_leg-3/servo-3;left_leg-3/tibia-1,Origin_L1_joint3,,L1_joint3,revolute,0.075094,-0.010287,0.023391,-1.5708,0,0,L1_femur,0,0,0,0,0,0,0,,,,,,,,
L2_coxa,0.024776,0.0016341,0.0035142,0,0,0,0.14547,4.1777E-05,-5.3584E-07,5.3557E-07,2.672E-05,9.3978E-21,2.672E-05,0,0,0,0,0,0,package://spider URDF/meshes/L2_coxa.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spider URDF/meshes/L2_coxa.STL,,left_leg-2/servo-1;left_leg-2/coxa-1;left_leg-2/coxa-2;left_leg-2/servo-2,Origin_L2_joint1,,L2_joint1,revolute,-0.057933,-0.010287,-0.023391,1.5708,0,-3.1416,main_body,0,0,0,0,0,0,0,,,,,,,,
L2_femur,0.0425,0.0020723,-0.00096249,0,0,0,0.018954,6.9019E-07,1.0007E-21,8.0411E-21,1.6508E-05,1.6303E-21,1.7168E-05,0,0,0,0,0,0,package://spider URDF/meshes/L2_femur.STL,0.89804,0.92157,0.92941,1,0,0,0,0,0,0,package://spider URDF/meshes/L2_femur.STL,,left_leg-2/horn-2;left_leg-2/femur-1;left_leg-2/horn-1,Origin_L2_joint2,,L2_joint2,revolute,0.039646,-0.001781,0.034959,3.1416,0,0,L2_coxa,0,0,0,0,0,0,0,,,,,,,,
L2_tibia,0.017865,-0.00025918,0.013634,0,0,0,0.083453,6.3949E-05,-1.3191E-10,-6.8552E-06,6.307E-05,-1.5501E-07,1.127E-05,0,0,0,0,0,0,package://spider URDF/meshes/L2_tibia.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spider URDF/meshes/L2_tibia.STL,,left_leg-2/servo-3;left_leg-2/tibia-1,Origin_L2_joint3,,L2_joint3,revolute,0.075094,-0.010287,0.023391,-1.5708,0,0,L2_femur,0,0,0,0,0,0,0,,,,,,,,
L3_coxa,0.0247761020098556,0.00163413195267163,0.00351420592765425,0,0,0,0.145467159991245,4.17771437174694E-05,-5.35841791312057E-07,5.35574459198207E-07,2.67197998012243E-05,-4.54267233403865E-13,2.67198002995217E-05,0,0,0,0,0,0,package://spider URDF/meshes/L3_coxa.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider URDF/meshes/L3_coxa.STL,,left_leg-4/servo-1;left_leg-4/coxa-1;left_leg-4/coxa-2;left_leg-4/servo-2,Origin_L3_joint1,,L3_joint1,revolute,-0.026262,-0.0711,-0.023391,1.5708,0,-2.0608,main_body,0,0,0,0,0,0,0,,,,,,,,
L3_femur,0.0424999999999998,0.00207234047327515,-0.000962489733139935,0,0,0,0.0189543856263249,6.90193645790596E-07,1.27381764483632E-20,4.39398341388168E-21,1.6507785713016E-05,1.73571570000484E-21,1.71682624360507E-05,0,0,0,0,0,0,package://spider URDF/meshes/L3_femur.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://spider URDF/meshes/L3_femur.STL,,left_leg-4/horn-2;left_leg-4/femur-1;left_leg-4/horn-1,Origin_L3_joint2,,L3_joint2,revolute,0.039646,-0.001781,0.034959,3.1416,0,0,L3_coxa,0,0,0,0,0,0,0,,,,,,,,
L3_tibia,0.0178645520428122,-0.000259178845722352,0.0136344638552385,0,0,0,0.0834526923953858,6.39493660790735E-05,-1.31925906158266E-10,-6.8551643119347E-06,6.30699307053158E-05,-1.55008121913509E-07,1.1270061788477E-05,0,0,0,0,0,0,package://spider URDF/meshes/L3_tibia.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider URDF/meshes/L3_tibia.STL,,left_leg-4/servo-3;left_leg-4/tibia-1,Origin_L3_joint3,,L3_joint3,revolute,0.075094,-0.010287,0.023391,-1.5708,0,0,L3_femur,0,0,0,0,0,0,0,,,,,,,,
